"id";"base";"bonus";"overtime_pay";"other";"sector";"section_07";"sex";"education";"contract";"age";"duration_total";"duration_entity";"duration_nominal";"duration_overtime"
66889;53005.52;0;6454.79;4920.17;1;2;2;2;1;44;25.01;22.02;759.6;152
61292;54800.14;1300;3249.72;4916.19;1;2;2;2;1;47;26.02;26.02;1816;91
128961;89961.57;11063.34;0;0;1;3;2;1;1;60;36.06;35.09;1653.16;0
89742;42560.45;400;1992.32;3786.99;1;2;2;2;1;48;27.03;9.03;766.8;54
25451;53737.2;6220.8;0;0;1;3;2;2;1;53;29.06;9.11;1105;0
1025;31540;5615;0;2659.9;1;1;2;4;1;41;20.02;18.02;1776;0
187539;2863.68;0;81.57;228.37;1;2;2;2;2;27;0.02;0.02;114.93;3
279;46829.88;2000;0;3980.53;1;1;1;3;1;30;6.04;5.07;1584;0
101795;18035.46;0;0;1533.01;1;2;1;5;1;32;3.04;3.04;1864;0
47294;43942.24;9329.45;2757.22;0;1;1;2;2;1;45;24.01;24.01;1840;87.5
103514;38828.8;0;410.52;3335.33;1;2;2;2;1;50;29.02;29.02;666;11
154487;40046.24;981;861.52;3372.63;1;2;2;2;1;39;19.01;19.01;690.4;22
150135;26240;0;0;2020;1;2;2;2;1;37;11.09;11.09;754.8;0
126981;42961.87;5755.6;0;3694.77;1;1;2;2;1;49;19.08;3.07;1768;0
26353;48621.5;0;0;0;1;3;2;3;1;47;25.08;25.08;1569.8;0
153798;28386.16;12210.8;10667.85;4009.01;1;1;1;4;1;49;20.03;1;1872;459.5
68633;33688.4;0;0;0;1;3;2;2;1;53;33.06;27.11;1546.32;0
108143;46533.4;1300;1085.44;4055.12;1;2;2;2;1;48;31.02;29.08;766.8;30
78063;37771.65;2522.75;0;0;1;3;1;2;2;63;11.1;11.1;913.2;0
105331;31414.58;4300;0;2642.4;1;1;2;2;2;24;1.09;1.09;1808;0
180504;28690.67;4076;0;0;1;3;2;4;1;52;38.04;27.04;1706.25;0
53707;70108.8;0;0;5959.25;1;2;2;2;1;53;20;11;766.8;0
129046;38695.16;4309;0;2325.75;1;2;2;4;1;50;29.02;13.1;1752;0
178534;1417.54;0;0;120.49;1;2;1;2;2;31;6.02;3.03;24.3;0
66577;49619.74;0;1263;29089.51;2;2;1;1;1;63;11.11;11.11;1591.2;11
146252;57741.81;0;0;4908.05;1;2;1;1;1;39;11;10;1562.4;0
73923;41421.16;1400;3186.28;3677.59;1;2;2;2;1;39;16.1;12.07;756;91
4535;19440;1000;0;0;1;3;2;4;1;55;28.08;18.02;1808;0
104343;33626.57;0;1824.92;2990.77;1;2;2;2;1;34;10.04;6.07;734.4;48
178425;12761.18;0;0;1085.96;1;2;2;2;1;44;21;5;385.6;0
145498;15097.36;2936.24;0;1532.86;1;2;2;6;1;42;9.05;9.05;1856;0
16979;42436.12;1118;7257.62;4209.15;1;2;2;2;1;37;15.02;15.02;766.8;202.4
142216;108325;0;0;9207.63;1;1;1;2;1;59;38.03;12;1704;0
25030;17258.64;2772;0;1582.42;1;2;2;5;1;50;29.03;13.01;1816;0
91125;15422.43;2461.14;0;1464.37;1;2;2;4;1;51;29.03;7.02;1544;0
33621;25812.52;0;7240.17;2809.48;1;2;2;2;1;27;2.07;2.02;730.8;269
144641;25943.43;0;66.03;2167.45;1;2;2;2;1;32;9;5.06;635;3.5
46801;30748.64;3450;0;2574.37;1;1;2;2;1;30;5.07;1.04;1792;0
121666;26193.65;0;1992.8;2344.48;1;2;2;2;1;31;3.06;3.06;710.8;74
106981;25898.29;0;593.72;0;1;3;1;6;1;40;19.05;19.05;1816;29
140675;41376.5;0;3594.43;3822.53;1;2;1;2;1;46;21;20.01;727.2;105
154467;63684.63;3460;0;5335.58;1;1;2;2;1;58;33.1;14.02;1588;0
181701;32539.17;1890;0;0;1;1;2;2;1;34;8.09;3.01;1806;0
66232;42344.54;0;0;0;2;2;2;2;1;30;5.05;3.09;1816;0
67906;39696;22204;0;0;1;3;2;4;1;53;31.07;28.01;1645.59;0
94445;16492.5;1649.5;0;1514.05;1;2;2;5;1;48;23.05;11.04;1832;0
29196;40434.8;0;0;0;1;3;2;4;1;54;34.02;34.02;1691.1;0
181186;18823.6;170;0;1614.46;1;2;2;4;1;43;10.09;10.09;1816;0
112121;39330.1;1496.5;6948;3821.97;1;2;1;2;1;52;22.01;11.01;766.8;209
24022;54725.05;8558.9;7687.08;5464.77;1;2;2;2;1;55;33.02;22.06;766.8;220
35655;34486.62;102;5234.43;3114.8;1;2;2;2;1;34;11.08;6.11;766.8;195.53
69921;57827;462;0;0;1;3;2;2;1;41;16;3;576.84;0
168975;32961.53;0;7791;3394.53;1;2;2;2;1;43;19;14.02;1461;159
110097;34270.62;0;3799.91;3110.31;1;2;2;1;2;37;12.07;2.07;694.8;99
146814;41427.36;0;6309.68;3935.87;1;2;2;2;1;40;22.02;5.02;684;176
59065;59820;14032;0;5937.42;1;1;1;2;1;31;8.07;1.08;1792;0
135216;33192.33;4890;0;2770.04;1;1;2;2;1;50;28.07;17.06;1752;0
34950;41019.23;0;388.56;3560.42;1;2;1;2;1;51;29;27;766.8;11
85013;36622.05;800;5890.33;3352.49;1;2;1;2;1;33;9.01;9.01;730.8;193
69857;19321.18;0;0;1550.07;1;2;1;2;1;34;7.05;1.02;524.8;0
30361;10651.94;0;43.36;909;1;2;2;2;2;39;1.08;1.08;122.91;1.5
184478;27350.69;5318.84;0;2776.91;1;2;1;4;1;48;20.09;20.09;1816;0
190225;50154.69;1077.5;7962.26;4939.94;1;2;2;2;1;60;36.09;35.01;766.8;215
23464;19311.31;254.75;122.68;1674;1;2;1;6;1;48;30.09;9.09;1616;8
97813;41328;500;0;3512.88;1;1;2;3;1;49;28.01;19;1744;0
145092;18395.19;450;0;1553.3;1;2;2;2;1;31;7.08;7.08;1776;0
74065;42180;0;18669;5133.92;1;2;2;1;2;41;16.09;15.01;1591.2;381
186795;35780.8;1100;0;2950.46;1;1;2;4;1;49;27;10.03;1848;0
182686;32838.6;3130;0;2791.28;1;1;2;2;1;41;22.03;21.08;1816;0
1617;37074.71;0;148.45;2887.53;1;2;2;2;1;38;18.02;8.02;720;5
47345;30013;550;0;0;1;3;2;2;1;50;29.02;26.01;1728.24;0
3810;8807.8;617;0;750;1;3;1;2;1;56;33.08;2.08;619;0
121719;74061.42;0;7865.58;6963.8;1;2;1;2;1;36;16.1;16.02;1880;215
198171;28525.29;0;5130.56;2831.98;1;2;1;2;1;29;6.02;6.02;693.2;176.5
167434;34629.6;150;3485.33;3239.77;1;2;2;2;1;46;25.01;25.01;727.2;115.19
32510;20447;125;552;1766;1;2;2;2;1;22;2;2;1089;37
119028;18227.49;983.5;0;1559.84;1;2;2;5;1;48;34.01;23.02;1736;0
84682;38169.6;1150;0;3244.42;1;1;1;4;1;59;35.01;0.1;1976;0
141297;36417.86;1189.24;1537.07;3246.13;1;2;2;2;1;55;19.04;11.04;766.8;51
73927;42364.33;0;3873.4;3881.93;1;2;2;2;1;54;31.02;31.02;766.8;110
71170;37690.8;1824;0;3241.4;1;1;2;4;1;48;29.03;28.1;1800;0
52551;48244.8;0;0;4101;1;1;2;2;1;51;31.1;12;1840;0
69411;20098.8;0;0;1708.4;1;2;2;5;1;50;31.01;19.1;1808;0
8811;23693.4;181.5;0;0;1;3;2;4;1;44;24.11;24.11;1645.58;0
174879;30070;0;0;0;1;3;1;4;1;38;12;7.01;1584.92;0
71059;22060.58;2844;7248.7;44799.89;1;2;2;1;1;37;13.09;13.09;1533.6;311
55449;9604;0;0;825.94;1;2;2;2;2;52;38.02;4.02;262.54;0
74945;25724.43;1950;0;2172.53;1;1;1;5;1;55;14.1;5.05;1816;0
16553;35043.76;1280;0;3087.52;1;2;2;2;1;52;28.02;19.07;1024.4;0
133601;8652.6;0;0;710.54;1;2;2;2;1;36;8.03;7.01;345.43;0
164286;38178.74;450;0;3245.16;1;3;2;2;1;42;15.01;1.1;1704;0
5373;15915.05;1451.9;0;1354.62;1;2;2;4;1;43;10.03;6;1800;0
129136;16600;200;0;0;2;2;1;2;1;36;12.03;6.04;1816;0
199721;36403.56;1800;0;0;1;1;2;2;1;30;9;6.07;520;0
183589;17423.97;3108.42;0;1616.22;1;2;2;2;1;28;4.04;3.07;1864;0
146418;31156.86;7840;217.2;0;1;1;2;2;1;31;8.05;7.09;1680;10
66570;20772;1398.84;0;1751.93;1;1;2;2;1;26;2;1.02;1800;0
57675;29198.7;1100;0;2481.89;1;1;2;4;1;47;28.06;28.06;1672;0
192569;39512.52;0;14881.68;4623.51;1;2;1;2;1;42;16.06;16.06;766.5;417
155243;40415.07;0;6541.11;4021.86;1;2;2;2;1;42;18.02;18.02;666;180.9
143818;32066.7;3230;0;0;1;3;2;1;1;52;32.03;6;1425.67;0
175352;29240.3;0;0;0;1;3;1;2;2;28;1.09;0.09;1332.83;0
86368;30331.33;0;1167.63;2394.92;1;2;2;2;1;33;9.02;9.02;115.2;49
27051;37361.39;620;1702.16;3264.13;1;2;2;2;1;57;38.06;33.07;730.8;59
91447;44359.23;0;13435.2;4912.53;1;2;2;2;1;48;23.1;23.1;709;360
150566;42179.61;0;4705.86;3985.26;1;2;2;2;1;41;18.02;18.02;705.6;130.9
194816;21282.41;0;0;1731.04;1;2;2;2;1;40;5.09;5.09;368;0
106904;83417.91;6450;0;6970.05;1;1;2;2;1;37;14.06;14.06;1672;0
156868;41078.73;3663.23;1277.64;3806.34;1;2;2;2;1;49;28.02;28.02;730.8;36
85488;41066.46;0;7319.04;3882.24;1;2;1;2;1;53;19.01;11.02;709.2;270
6939;43208.85;1300;7902.24;4212.39;1;2;2;2;1;42;18.02;17.02;680.4;267
288;44291.52;0;2122.08;3945.16;1;2;2;2;1;44;22.1;21.01;766.8;60
120692;19416;8170.9;0;2227.99;1;2;1;4;2;24;3.1;1.09;1688;0
195439;58201.52;8600;0;0;1;3;2;2;2;33;11.05;4.08;1776;0
197286;44467.44;0;0;3779.73;1;2;2;2;1;50;31.01;29.02;690.4;0
157986;29946.81;4270;0;0;2;2;2;2;2;26;3.08;1.03;1736;0
104732;42048.8;500;9075.24;4330.71;1;2;2;2;1;43;24.04;24.04;670;210
89248;76154.6;0;0;0;1;3;2;2;1;48;22;3.07;1691.08;0
24499;34015.14;400;508.32;2695.13;1;2;2;2;1;44;21.08;20.08;1182;16
186482;138298.8;0;0;11745.4;1;1;1;2;1;49;24.02;24.02;1808;0
53001;20960;800;0;1781.6;1;2;2;5;1;42;10;2.1;1864;0
144000;95565.95;4900;0;8123.11;1;1;2;2;1;53;30.1;18.05;1864;0
137673;43138.86;0;5832.7;4062.07;1;2;2;2;1;45;27.01;27.01;673.2;162.5
151388;34208.46;2500;8313.35;3615.5;1;2;2;2;1;44;16.02;3.07;702;309
78261;39756.57;0;783.72;3445.92;1;2;2;2;1;48;27.01;27.01;295.8;18
38360;19491.33;0;0;1512.5;1;2;2;5;1;55;38.03;13.03;1358;0
180488;31984.97;3249.15;0;2994.9;1;1;2;3;1;49;29.02;15.11;1660.74;0
82653;22239;0;632.72;1798.54;1;2;2;2;2;47;3.01;3.01;536.61;18
139204;2577.29;0;0;211.24;1;2;2;2;1;47;27.02;3.02;43.85;0
63346;30643.39;800;0;2521.2;1;2;2;2;2;41;12;1.04;1090;0
173184;6339.4;121;0;519.93;1;2;1;2;1;59;40.02;11.01;500;0
78414;12576;0;0;980;1;2;1;2;1;30;3;3;513.03;0
174397;35334.37;0;0;3001.04;1;2;2;2;1;55;29.01;19.02;1090;0
176237;141183.56;0;0;12006.3;1;1;1;2;1;54;31.01;31.01;1688;0
131646;25584.78;0;1820;2329.41;1;2;2;2;2;35;9.04;4;1605.6;52
68059;23424.65;2747.28;0;1946.63;1;3;2;4;2;42;21.01;2.09;1748;0
75700;36753.9;16198;0;3931.41;1;1;1;2;1;55;16.11;3.09;1589;0
97254;33777.6;280;8729.72;3636.92;1;2;2;2;1;43;25.02;21.02;1075;348
132813;50605.04;0;0;0;1;3;2;3;1;54;33.01;9.09;1690.34;0
113544;43710.48;0;17173.56;5175.14;1;2;2;2;1;41;21.06;11.06;766.8;460
130707;46808;700;0;3876;1;1;2;4;1;56;31.08;30.1;1824;0
119036;42033;1427;0;3572.8;1;1;1;4;1;45;26.04;19.1;1456;0
63034;36388.08;5950;0;3028.83;1;1;2;4;1;50;26.11;12.1;1760;0
29432;37387.75;4540;0;0;1;1;2;2;1;43;23;15.07;1560;0
88677;26906.8;3200;6122;3033.36;1;2;1;2;1;34;10;2.03;937.2;280
18913;2610;0;0;221.85;1;2;2;2;2;28;0.01;0.01;190.18;0
158456;54118.3;9439.59;37550.37;0;1;3;2;2;2;28;4;2.11;1606.96;724.92
111308;21716.24;0;0;0;1;3;2;5;1;50;15.07;4.09;1705.41;0
40066;20722;5392;0;1996.5;1;2;1;4;1;56;24.05;5.03;1888;0
72056;22476.54;0;0;0;1;3;2;2;2;30;2.09;1.02;1332.18;0
196089;25848;2170;0;2197.08;1;3;2;6;1;53;36.11;15.07;1784;0
93310;29925.06;0;2303;2667.18;1;2;2;2;1;50;29.01;2.01;875.6;85.5
91569;40528.81;710;0;3297.7;1;1;2;2;1;56;29.09;19.11;1520;0
107119;41754.53;1950;6186.24;3888.81;1;2;2;2;1;48;29.05;27;705.6;174
45597;27561.12;3800;0;2309;1;1;2;2;1;33;6;0.11;1480;0
74017;44262.99;0;0;3762.35;1;2;2;2;1;39;13.07;11.02;1278;0
77700;17380;0;0;0;2;3;2;4;2;40;14.06;14.06;1840;0
140780;56917.7;0;0;0;1;3;2;4;2;32;11.09;8.07;1721.59;0
11482;23121.95;1612.03;0;2066.71;1;1;2;6;1;45;26.05;23.02;1752;0
105507;2574.75;0;0;216;1;2;2;2;1;39;21.02;21.02;82.19;0
195282;14071.78;0;0;0;1;2;2;2;1;29;2.04;2.04;79.8;0
33617;26568.32;0;0;0;1;3;2;4;1;51;30.02;30.02;1100;0
56736;34885.21;6861.31;0;0;1;3;1;6;1;59;39.09;39.05;1816;0
61895;21792;600;0;1852;1;3;2;5;1;55;25.1;8.11;1824;0
31165;18098.61;2014.57;0;1676.56;1;2;2;5;1;43;21.06;8;1768;0
128487;31642.6;2400;0;0;1;3;2;3;1;56;28.06;10.09;1441.01;0
141037;52651.74;3565;0;4294.34;1;1;2;4;1;50;32.02;22.03;1672;0
125150;19478.34;9852.67;0;1981.5;1;2;1;4;1;61;40.03;6.08;1744;0
72119;19188.07;0;0;0;1;3;2;2;2;26;1.07;0.04;841.42;0
170245;17529.6;1750.92;0;1625.67;1;2;2;4;1;42;24;24;1816;0
33343;2866.16;0;0;243.62;1;2;2;2;2;57;30.02;0.02;56.46;0
144361;56352;7200;0;4790;1;1;1;2;1;29;4.09;4.04;1536;0
48699;32682.77;1600;0;2778.04;1;1;1;2;1;28;8.01;7.09;1776;0
199232;38745.23;1449.23;0;3293.34;1;1;1;4;1;49;21.01;18.09;1816;0
188388;27726.98;6620.32;54.7;0;2;3;2;4;1;35;7;3.11;1721.25;2.05
75434;39456;2000;0;3353.76;1;1;1;4;1;45;23.02;17.01;1752;0
178836;38088.39;0;4526.21;3573.27;1;2;2;2;1;43;24.02;24.02;741.6;114
141607;31081.17;13875;0;0;1;3;2;2;2;28;3.03;3.03;1698.66;0
27691;37765.89;1979;0;3358.05;1;1;1;4;1;43;24.02;24.02;1752;0
67355;29077.74;0;647.49;2283.46;1;2;2;2;1;49;22.07;20.01;602.42;19
194400;39476.84;1091.14;0;3440.54;1;2;2;2;1;45;27.06;27.06;1065;0
139711;44588.27;0;0;3457.15;1;2;2;2;1;46;30.02;7.02;766.8;0
162001;6064;1482.5;0;0;1;2;2;4;2;38;16.06;0.02;664;0
192902;22979.52;10590.03;0;2853.41;1;1;1;5;1;60;42.02;6.06;1864;0
186801;40907.7;0;0;3477.15;1;2;1;2;2;34;5.01;3.01;1562.4;0
36329;11617.08;1600;1384.57;1207.14;1;2;1;2;2;30;3.07;0.02;442;63
69286;19381.65;0;0;1594.32;1;2;2;5;1;58;25.11;5.03;1792;0
3448;25885.32;0;0;2200.25;1;1;2;4;1;54;35.02;13.05;1792;0
74952;5523.36;0;0;469.49;1;2;2;2;2;42;1.02;1.02;136;0
76380;15804;0;1564.35;0;1;3;2;5;1;40;6.02;6.02;1824;132
90849;17316.44;3650.8;272.98;1747.1;1;1;1;6;2;22;2.02;2.02;1784;25
129629;5482.4;0;447.84;482.17;1;2;1;2;2;38;3.02;0.02;142.2;12
161442;2201.88;0;0;187.16;1;2;2;2;2;42;20;0.04;48.6;0
29194;18290.73;5975.97;0;2004.37;1;3;2;3;1;42;10.1;10.07;1824;0
70792;20021.16;0;27.99;1561.91;1;2;2;2;1;31;7.02;1.02;612;2
78477;35819.91;8257.94;0;0;1;1;1;5;1;53;37.11;8.02;1472;0
155572;56925.29;0;75.32;4827.92;1;2;2;2;1;48;25.02;21.02;1800;2
26318;39952.4;4300;8660.24;4132.07;1;1;1;4;1;53;26.02;10.02;1856;320
3203;8290.08;1747.96;0;831.98;1;2;2;5;1;47;23.08;7.02;916;0
22212;47771.53;3682;5550;4169.09;1;2;2;1;2;49;25.01;23.01;1627.2;170
175178;34359.65;300;0;0;1;3;2;4;1;39;19.03;19;1697.42;0
1514;43054.03;0;5621.52;3748.01;1;3;2;2;1;54;26;24;1046.4;214.5
95156;20171.33;1400;0;1622.33;1;3;2;5;1;46;20.01;7.02;1824;0
49974;36021.7;0;4976.56;3484.85;1;2;2;2;1;43;15.01;8.02;766.8;142
96978;41160.12;3550;3488.3;4089.76;1;2;2;2;1;41;19.07;14.07;1050;138
159906;23583.89;7914.07;0;2294.86;1;2;1;6;1;52;35.02;25.06;1768;0
14762;43296.68;0;10417.76;4537.54;1;2;2;2;1;39;18.02;10.02;752.4;290
111494;102478.36;0;0;8053.06;1;2;1;1;1;62;34;5.01;1566;0
88296;18288;3086.1;0;1816.8;1;2;2;6;1;55;36.09;36.09;1824;0
83485;56705.2;4500;0;32307.32;1;2;1;2;1;54;30.09;30.09;1533.6;0
101297;42840;0;0;0;1;3;2;2;1;49;29.01;29.01;1629.6;0
147085;19968;2656;0;1899.11;1;2;2;3;1;55;26.04;20.01;1800;0
190373;32198.4;5388.76;0;3194.91;1;2;1;4;1;57;42.06;20.1;1816;0
79373;31594.18;6387.27;3427.96;0;1;1;2;4;1;45;24.08;23.07;1744;118
192375;53837.06;0;0;0;1;3;2;3;1;46;24.08;10.1;1716.75;0
185849;10763;564;0;898.22;1;1;2;2;1;29;5.04;5.04;752;0
153305;21087.56;4100;0;2015;1;2;2;2;2;64;40;2.1;512.2;0
115564;39082.13;0;0;2980.24;1;2;2;2;1;32;9.03;8.03;766.8;0
139601;25662;0;3502.6;55185.4;1;2;2;1;2;61;31.09;2.01;1533.6;186
15757;22107;700;0;1879.1;1;1;2;2;1;31;10.03;1;1664;0
77971;20324.24;667.8;0;1734.32;1;2;2;2;2;26;1.01;1.01;501.6;0
119630;37317.63;900;3777.86;3131.45;1;2;2;2;1;46;23.02;23.02;615.6;132
193763;25588.48;2000;0;2200.6;1;1;1;4;1;28;2.04;2.04;2008;0
70655;29181.6;6463.6;0;2893.84;1;2;2;4;1;56;34.03;34.03;1816;0
168435;38657.61;7544.91;21296.85;0;1;3;2;2;1;55;27.03;1.09;818.64;360
128421;35264.52;0;1635.75;3136.52;1;2;2;2;1;47;29.01;12.01;752.4;52
123690;19873.96;182;0;1566.32;1;2;2;5;1;51;34.05;24.05;1564.12;0
172664;42719.45;2410.8;1988.74;0;1;3;2;3;1;43;22.07;8.08;1698.67;64.3
150825;65426.36;4300;5316.68;6013.16;1;2;2;2;1;53;30.02;6.02;1816;149
664;45978.6;8519.8;0;3954.15;1;1;1;2;1;57;25.08;2.05;1896;0
139754;54612;0;0;4502.66;1;2;2;2;1;54;28;25;1497.6;0
188829;36599.89;0;0;0;1;3;2;2;1;46;25.01;11.09;1827.58;0
39142;21311.78;0;4009.41;2096.62;1;2;1;4;1;55;23.03;13.11;893.2;278.55
134709;45772.33;3296.67;0;0;1;3;1;2;2;31;4.08;3.07;1783.57;0
158583;36542.12;2976.84;7045.02;3651.05;1;2;2;2;1;53;29.02;3.02;766.8;260
108469;22800;820;0;0;2;3;2;4;2;35;3.01;3.01;1840;0
197401;38342.32;0;746.4;3322.54;1;2;2;2;1;56;39;19;284.4;20
189164;21703.03;0;0;1828.74;1;3;2;2;2;28;3.05;3.05;1464;0
73030;36440.3;0;0;16880.59;1;2;2;2;2;37;13.08;13.08;1533.6;0
157475;27366.78;3040.75;0;0;1;3;2;3;1;29;7.1;7.1;1180;0
188716;28102.24;0;1411.02;2486.72;1;2;2;2;2;32;7.01;7.01;868;65
12507;118100;1300;0;0;1;3;1;2;1;45;16.03;5.06;1766.9;0
116098;53241.13;23643;0;5137.48;1;1;2;2;1;29;6.04;2.06;1712;0
62121;40492.08;0;293.68;3466.79;1;2;2;2;1;55;31.03;19.02;684;8
87226;85821.66;1200;0;7113.18;1;1;2;2;1;52;30.06;21.03;1696;0
156376;44498.6;837;59365.6;0;1;3;1;2;1;33;8;7.01;1728;1506.75
26986;9076.56;1906.6;0;913.17;1;2;1;4;1;48;28.01;8.11;908;0
57648;49268.47;1000;4793.98;4646.31;1;2;2;2;1;53;24.11;15.06;766.8;127
87978;46248.74;700;11221.22;4863.67;1;2;1;2;1;49;28.03;5.02;705.6;289
89235;21766.2;6851.17;0;2222.39;1;3;2;2;1;36;14.08;14.08;1680;0
147507;29956.37;0;183.12;2561.86;1;2;1;2;1;29;6.07;6.07;691.2;7
150943;35586.55;0;0;0;1;3;2;3;1;47;8.01;6.01;1705.5;0
38482;22564.37;4948;0;0;1;3;2;4;1;53;31.03;30;1145;0
148919;25300;32300;0;4598.5;1;2;1;2;1;26;1.1;1.1;1800;0
98459;41584.14;7920;0;3534.64;1;2;2;4;1;57;24;24;1640;0
122012;12324.5;250;0;999.9;1;3;2;2;2;31;6.05;1.07;568;0
69428;43158.08;2333.33;6056.33;4123.82;1;2;2;2;1;36;13.02;13.02;730.8;124
84931;35280;1000;0;2998.8;1;1;2;4;1;55;34;22;1888;0
131416;26204.48;745.35;0;2129;1;1;2;4;1;45;25.11;25.11;1296.18;0
130502;2938.8;0;0;249.8;1;2;2;2;2;27;5.11;0.02;90;0
117013;30420;1200;0;2587.7;1;1;2;2;1;29;4;2.09;1767;0
134178;28337.36;1385;1236.69;2566.45;1;2;2;2;1;36;8.03;4.07;1030;50
105560;35928;1500;0;3053.88;1;1;2;4;1;54;39.08;11.04;1816;0
111043;32809.08;1584;0;2923.41;1;2;2;2;1;40;19.01;19.01;937.2;0
136208;49012.52;400;370.86;4137.3;1;2;2;2;1;47;26.06;8.02;1050;8
65916;35814.3;3775;0;3044.22;1;1;2;2;1;37;8.04;4.1;1552;0
11239;50366.56;0;0;4212.01;1;1;2;2;1;45;25.05;23.1;1768;0
23779;23364;780;0;1985.94;1;1;2;2;1;28;5.08;5.03;1624;0
32014;36577.68;0;1177.55;3209.19;1;2;2;2;1;46;25.02;25.02;980;55
168263;56755.2;1400;0;4824.19;1;1;1;2;1;57;38.08;30;1808;0
119245;31844.89;3930;0;2684.04;1;1;2;2;1;32;12.11;6.05;1816;0
36030;28790.6;2033.23;0;0;1;3;1;5;1;32;16.09;11.05;1648;0
47554;21431.92;0;0;1821.71;1;2;1;5;1;36;18.08;4.08;1816;0
83019;27694.54;0;1950;2510.1;1;2;2;1;1;29;5.05;5.05;1562;60
60899;42174.22;1320;2426.16;0;1;3;2;2;1;34;11.03;11.03;1743.16;72
85585;26389.1;0;0;0;1;3;2;4;1;40;22.04;22.04;1638;0
136474;23801.57;0;18.9;0;1;3;1;4;1;35;15.07;12.09;1501.27;1
148807;32239.49;0;0;0;1;3;2;3;1;49;28.02;28.02;1668.33;0
54714;35842.36;0;0;0;1;3;2;3;1;35;13.1;9.05;1555.64;0
140294;18275.6;4139.78;0;1905.3;1;2;1;5;1;50;32.09;7.03;1816;0
